"","species","gear","catchability","sel_func","sigmoidal_weight","sigmoidal_sigma"
"Lancetfish, DeepSet","Lancetfish","DeepSet",0.2,"sigmoid_weight",885.480595276967,19
"BigeyeTuna, DeepSet","BigeyeTuna","DeepSet",0.1,"sigmoid_weight",14845.6174147217,19
"BlueShark, DeepSet","BlueShark","DeepSet",0.33,"sigmoid_weight",6633.82793060508,18
"MahiMahi, DeepSet","MahiMahi","DeepSet",0.2,"sigmoid_weight",1981.58684294407,15
"Swordfish, DeepSet","Swordfish","DeepSet",0.09,"sigmoid_weight",2964.35451510663,30
"YellowfinTuna, DeepSet","YellowfinTuna","DeepSet",0.2,"sigmoid_weight",14845.6174147217,18
"SkipjackTuna, DeepSet","SkipjackTuna","DeepSet",0.1,"sigmoid_weight",5423.82523173396,11
"AlbacoreTuna, DeepSet","AlbacoreTuna","DeepSet",0.13,"sigmoid_weight",12137.793617341,12
"StripedMarlin, DeepSet","StripedMarlin","DeepSet",0.68,"sigmoid_weight",9923.8738128242,14
"Wahoo, DeepSet","Wahoo","DeepSet",0.2,"sigmoid_weight",6633.82793060508,13
"Opah, DeepSet","Opah","DeepSet",0.2,"sigmoid_weight",27162.7546247586,9
"BlueMarlin, DeepSet","BlueMarlin","DeepSet",0.13,"sigmoid_weight",33222.5012059044,15
"ShortfinMakoShark, DeepSet","ShortfinMakoShark","DeepSet",0.018,"sigmoid_weight",14845.6174147217,24
"Pomfret, DeepSet","Pomfret","DeepSet",0.2,"sigmoid_weight",3625.67319895794,13
"ShortbillSpearfish, DeepSet","ShortbillSpearfish","DeepSet",0.2,"sigmoid_weight",12137.793617341,7
"OceanicWhitetipShark, DeepSet","OceanicWhitetipShark","DeepSet",0.12,"sigmoid_weight",6633.82793060508,30
"SnakeMackerel, DeepSet","SnakeMackerel","DeepSet",0.2,"sigmoid_weight",591.918641424709,17
"Escolar, DeepSet","Escolar","DeepSet",0.2,"sigmoid_weight",1620.14764779281,33
"Lancetfish, ShallowSet","Lancetfish","ShallowSet",0.2,"sigmoid_weight",483.953351831992,19
"BigeyeTuna, ShallowSet","BigeyeTuna","ShallowSet",0.1,"sigmoid_weight",18157.5303858701,15
"BlueShark, ShallowSet","BlueShark","ShallowSet",0.33,"sigmoid_weight",6633.82793060508,24
"MahiMahi, ShallowSet","MahiMahi","ShallowSet",0.2,"sigmoid_weight",2423.65960996118,13
"Swordfish, ShallowSet","Swordfish","ShallowSet",0.09,"sigmoid_weight",22208.2989547373,20
"YellowfinTuna, ShallowSet","YellowfinTuna","ShallowSet",0.2,"sigmoid_weight",18157.5303858701,15
"SkipjackTuna, ShallowSet","SkipjackTuna","ShallowSet",0.1,"sigmoid_weight",4434.52565428701,26
"AlbacoreTuna, ShallowSet","AlbacoreTuna","ShallowSet",0.13,"sigmoid_weight",6633.82793060508,13
"StripedMarlin, ShallowSet","StripedMarlin","ShallowSet",0.68,"sigmoid_weight",18157.5303858701,11
"Wahoo, ShallowSet","Wahoo","ShallowSet",0.2,"sigmoid_weight",8113.77047243225,15
"Opah, ShallowSet","Opah","ShallowSet",0.2,"sigmoid_weight",12137.793617341,10
"BlueMarlin, ShallowSet","BlueMarlin","ShallowSet",0.13,"sigmoid_weight",40634.1183589043,14
"ShortfinMakoShark, ShallowSet","ShortfinMakoShark","ShallowSet",0.018,"sigmoid_weight",1981.58684294407,33
"Pomfret, ShallowSet","Pomfret","ShallowSet",0.2,"sigmoid_weight",1324.63455235137,20
"ShortbillSpearfish, ShallowSet","ShortbillSpearfish","ShallowSet",0.2,"sigmoid_weight",12137.793617341,7
"OceanicWhitetipShark, ShallowSet","OceanicWhitetipShark","ShallowSet",0.12,"sigmoid_weight",14845.6174147217,15
"SnakeMackerel, ShallowSet","SnakeMackerel","ShallowSet",0.2,"sigmoid_weight",591.918641424709,16
"Escolar, ShallowSet","Escolar","ShallowSet",0.2,"sigmoid_weight",1981.58684294407,23
