"","Lancetfish","BigeyeTuna","BlueShark","MahiMahi","Swordfish","YellowfinTuna","SkipjackTuna","AlbacoreTuna","StripedMarlin","Wahoo","Opah","BlueMarlin","ShortfinMakoShark","Pomfret","ShortbillSpearfish","OceanicWhitetipShark","SnakeMackerel","Escolar"
"Lancetfish",1,0.416666666666667,0.5,0.0708333333333333,1,0.208333333333333,0.25,0.333333333333333,0.166666666666667,0.0166666666666667,0.291666666666667,0.0833333333333333,0.166666666666667,0.291666666666667,0.208333333333333,0.166666666666667,0.333333333333333,0.666666666666667
"BigeyeTuna",0.416666666666667,1,0.833333333333333,0.17,0.416666666666667,0.5,0.6,0.8,0.4,0.04,0.7,0.2,0.4,0.7,0.5,0.4,0.8,0.625
"BlueShark",0.5,0.833333333333333,1,0.141666666666667,0.5,0.416666666666667,0.5,0.666666666666667,0.333333333333333,0.0333333333333333,0.583333333333333,0.166666666666667,0.333333333333333,0.583333333333333,0.416666666666667,0.333333333333333,0.666666666666667,0.75
"MahiMahi",0.0708333333333333,0.17,0.141666666666667,1,0.0708333333333333,0.34,0.283333333333333,0.2125,0.425,0.235294117647059,0.0411764705882353,0.85,0.425,0.00756302521008403,0.34,0.425,0.2125,0.10625
"Swordfish",1,0.416666666666667,0.5,0.0708333333333333,1,0.208333333333333,0.25,0.333333333333333,0.166666666666667,0.0166666666666667,0.291666666666667,0.0833333333333333,0.166666666666667,0.291666666666667,0.208333333333333,0.166666666666667,0.333333333333333,0.666666666666667
"YellowfinTuna",0.208333333333333,0.5,0.416666666666667,0.34,0.208333333333333,1,0.833333333333333,0.625,0.8,0.08,0.457142857142857,0.4,0.8,0.257142857142857,1,0.8,0.625,0.3125
"SkipjackTuna",0.25,0.6,0.5,0.283333333333333,0.25,0.833333333333333,1,0.75,0.666666666666667,0.0666666666666667,0.595238095238095,0.333333333333333,0.666666666666667,0.380952380952381,0.833333333333333,0.666666666666667,0.75,0.375
"AlbacoreTuna",0.333333333333333,0.8,0.666666666666667,0.2125,0.333333333333333,0.625,0.75,1,0.5,0.05,0.875,0.25,0.5,0.642857142857143,0.625,0.5,1,0.5
"StripedMarlin",0.166666666666667,0.4,0.333333333333333,0.425,0.166666666666667,0.8,0.666666666666667,0.5,1,0.1,0.321428571428571,0.5,1,0.142857142857143,0.8,1,0.5,0.25
"Wahoo",0.0166666666666667,0.04,0.0333333333333333,0.235294117647059,0.0166666666666667,0.08,0.0666666666666667,0.05,0.1,1,0.128571428571429,0.2,0.1,0.914285714285714,0.08,0.1,0.05,0.025
"Opah",0.291666666666667,0.7,0.583333333333333,0.0411764705882353,0.291666666666667,0.457142857142857,0.595238095238095,0.875,0.321428571428571,0.128571428571429,1,0.0714285714285714,0.321428571428571,0.73469387755102,0.457142857142857,0.321428571428571,0.875,0.4375
"BlueMarlin",0.0833333333333333,0.2,0.166666666666667,0.85,0.0833333333333333,0.4,0.333333333333333,0.25,0.5,0.2,0.0714285714285714,1,0.5,0,0.4,0.5,0.25,0.125
"ShortfinMakoShark",0.166666666666667,0.4,0.333333333333333,0.425,0.166666666666667,0.8,0.666666666666667,0.5,1,0.1,0.321428571428571,0.5,1,0.142857142857143,0.8,1,0.5,0.25
"Pomfret",0.291666666666667,0.7,0.583333333333333,0.00756302521008403,0.291666666666667,0.257142857142857,0.380952380952381,0.642857142857143,0.142857142857143,0.914285714285714,0.73469387755102,0,0.142857142857143,1,0.257142857142857,0.142857142857143,0.642857142857143,0.4375
"ShortbillSpearfish",0.208333333333333,0.5,0.416666666666667,0.34,0.208333333333333,1,0.833333333333333,0.625,0.8,0.08,0.457142857142857,0.4,0.8,0.257142857142857,1,0.8,0.625,0.3125
"OceanicWhitetipShark",0.166666666666667,0.4,0.333333333333333,0.425,0.166666666666667,0.8,0.666666666666667,0.5,1,0.1,0.321428571428571,0.5,1,0.142857142857143,0.8,1,0.5,0.25
"SnakeMackerel",0.333333333333333,0.8,0.666666666666667,0.2125,0.333333333333333,0.625,0.75,1,0.5,0.05,0.875,0.25,0.5,0.642857142857143,0.625,0.5,1,0.5
"Escolar",0.666666666666667,0.625,0.75,0.10625,0.666666666666667,0.3125,0.375,0.5,0.25,0.025,0.4375,0.125,0.25,0.4375,0.3125,0.25,0.5,1
