species,w_max,w_mat,age_mat,w_min,R_max,depth_min,depth_max,beta,sigma,a,b,l_min,l_mat,l_max,catchability
Lancetfish,NA,109,3,0.001,132890,0,1200,3646,4,0.00601421,2.75849,NA,NA,168,0.2
BigeyeTuna,95200,NA,2.85,0.001,3404,0,500,6033,2.6,0.035146,2.9096,NA,121.97,NA,0.1
BlueShark,119968,38867,5.75,353,2407,0,600,359,3.2,NA,NA,NA,NA,NA,0.33
MahiMahi,29800,1024,0.4,0.001,19439,0,85,3646,4,0.0011242449999999998,3.419622,NA,NA,NA,0.2
Swordfish,202621,37019,2,0.001,1096,0,1200,2263,2.2,0.013,3.07,NA,NA,NA,0.09
YellowfinTuna,93400,NA,2,0.001,3503,0,250,25185,2.6,0.0317,2.88938,NA,110,NA,0.2
SkipjackTuna,10400,NA,3.75,0.001,94287,0,300,3646,4,0.00765,3.24281,NA,45,NA,0.1
AlbacoreTuna,37200,NA,5,0.001,13938,0,400,12453,2.7,0.026,2.95,NA,89,NA,0.13
StripedMarlin,NA,NA,2.3,0.001,3540,0,200,3646,4,0.00468,3.16,NA,165.7,203.8,0.68
Wahoo,NA,NA,0.75,0.001,12544,0,20,3646,4,0.0014157,3.3034,NA,105,180,0.2
Opah,89000,19382,4.3,0.001,3766,50,400,3646,4,NA,NA,NA,NA,NA,0.2
BlueMarlin,455400,77473,3,0.001,325,0,100,3646,4,NA,NA,NA,NA,NA,0.13
ShortfinMakoShark,373993,122503,10,2404,437,0,200,359,3.2,NA,NA,NA,NA,NA,0.018
Pomfret,9000,NA,2.5,0.001,117121,100,450,3646,4,1.5,2.03,NA,30,NA,0.2
ShortbillSpearfish,23500,NA,2,0.001,27759,0,250,3646,4,0.184456,2.30582,NA,120,NA,0.2
OceanicWhitetipShark,NA,NA,8.85,NA,598,0,200,359,3.2,0.0166,2.891,70,194,325,0.12
SnakeMackerel,2400,NA,3,0.001,850517,0,400,3646,4,0.0119631,2.53172,NA,47,NA,0.2
Escolar,NA,NA,4,0.001,17163,0,800,3646,4,0.0118,3,NA,102,140,0.2
